Source IP,Destination IP,Type,Record,Size (bytes),Domain,Time Stamp,Z-value
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:07:06.953088,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:07:07.442202,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:07:11.959730,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:07:12.455261,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:07:18.574562,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:07:19.059451,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:07:24.062922,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:07:24.562720,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:07:30.000518,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:07:30.478267,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:07:36.681069,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:07:37.205154,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:07:40.329476,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:07:40.803838,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:07:47.590224,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:07:48.044179,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:07:54.433737,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:07:54.950075,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:07:59.771380,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:00.248657,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:02.875545,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:03.357327,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:09.475043,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:09.967403,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:13.900473,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:14.518565,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:18.009565,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:18.523579,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:25.521112,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:26.007969,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:29.366383,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:29.836667,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:34.553115,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:35.058564,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:40.458985,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:40.932800,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:43.965538,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:44.433272,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:51.322569,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:51.819449,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:54.370336,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:54.838941,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:08:59.016812,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:08:59.488269,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:02.362724,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:09:02.835489,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:10.075973,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:09:10.564348,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:15.527456,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:09:15.994680,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:21.820709,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:09:22.316836,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:27.538380,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:09:28.018187,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:32.634482,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:09:33.127880,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:40.359703,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:09:40.831755,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:47.078656,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:09:47.535652,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:51.730140,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:09:52.212977,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:09:59.549267,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:00.050927,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:10:02.667938,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:10:03.180270,0
